file,result,dimensions,label
st2925.jpg,"[[0.44705882 0.44705882 0.44313725 ... 0.43137255 0.43529412 0.43529412]
 [0.44705882 0.44705882 0.44313725 ... 0.43137255 0.43529412 0.43529412]
 [0.44313725 0.44313725 0.44313725 ... 0.43137255 0.43137255 0.43529412]
 ...
 [0.8627451  0.87058824 0.88627451 ... 0.4745098  0.47058824 0.47058824]
 [0.85490196 0.8627451  0.8745098  ... 0.45098039 0.44705882 0.44313725]
 [0.85098039 0.85882353 0.86666667 ... 0.43921569 0.43529412 0.43529412]]","(566, 850)",1
st3317.jpg,"[[0.76078431 0.76470588 0.76862745 ... 0.49803922 0.49803922 0.49803922]
 [0.76078431 0.76470588 0.77254902 ... 0.49803922 0.49803922 0.49803922]
 [0.76078431 0.76862745 0.78039216 ... 0.49803922 0.50196078 0.50196078]
 ...
 [0.75686275 0.75686275 0.75294118 ... 0.7254902  0.7254902  0.7254902 ]
 [0.74509804 0.74509804 0.74117647 ... 0.73333333 0.72941176 0.72941176]
 [0.74117647 0.74117647 0.74117647 ... 0.73333333 0.7372549  0.7372549 ]]","(297, 483)",1
st3461.jpg,"[[0.25098039 0.25098039 0.25098039 ... 0.29803922 0.29803922 0.29803922]
 [0.25098039 0.25098039 0.25098039 ... 0.29411765 0.29803922 0.29803922]
 [0.25098039 0.25098039 0.25098039 ... 0.29411765 0.29411765 0.29803922]
 ...
 [0.72941176 0.73333333 0.72941176 ... 0.69411765 0.69803922 0.69803922]
 [0.7372549  0.7372549  0.7372549  ... 0.68627451 0.69019608 0.69019608]
 [0.7372549  0.7372549  0.7372549  ... 0.69019608 0.69019608 0.69019608]]","(240, 391)",1
st3000.jpg,"[[0.89803922 0.89019608 0.87843137 ... 0.7254902  0.72941176 0.72941176]
 [0.89803922 0.89019608 0.87843137 ... 0.72156863 0.7254902  0.72941176]
 [0.89411765 0.89019608 0.87843137 ... 0.71764706 0.72156863 0.7254902 ]
 ...
 [0.96862745 0.96862745 0.96862745 ... 0.95686275 0.95294118 0.95294118]
 [0.96862745 0.96862745 0.96862745 ... 0.95686275 0.95294118 0.95294118]
 [0.96862745 0.96862745 0.96862745 ... 0.95294118 0.95294118 0.95294118]]","(291, 400)",1
st3539.jpg,"[[0.22352941 0.22352941 0.22352941 ... 0.25490196 0.25490196 0.25490196]
 [0.25882353 0.25882353 0.25882353 ... 0.27843137 0.27843137 0.27843137]
 [0.30980392 0.30980392 0.30980392 ... 0.31372549 0.31372549 0.31372549]
 ...
 [0.50196078 0.49803922 0.49019608 ... 0.58039216 0.58431373 0.58823529]
 [0.4745098  0.47058824 0.4627451  ... 0.56470588 0.57254902 0.57647059]
 [0.45490196 0.45490196 0.45490196 ... 0.56078431 0.56862745 0.56862745]]","(240, 423)",1
st3158.jpg,"[[0.28235294 0.28235294 0.27843137 ... 0.30588235 0.30588235 0.30588235]
 [0.28235294 0.28235294 0.27843137 ... 0.30588235 0.30588235 0.30588235]
 [0.28235294 0.27843137 0.27843137 ... 0.30196078 0.30588235 0.30588235]
 ...
 [0.5254902  0.53333333 0.54117647 ... 0.52941176 0.54117647 0.54509804]
 [0.5372549  0.54117647 0.54509804 ... 0.51372549 0.52156863 0.5254902 ]
 [0.5372549  0.54117647 0.54509804 ... 0.50588235 0.51372549 0.51764706]]","(271, 400)",1
st3189.jpg,"[[0.00784314 0.00784314 0.00784314 ... 0.01176471 0.01176471 0.01176471]
 [0.00784314 0.00784314 0.00784314 ... 0.01176471 0.01176471 0.01176471]
 [0.00784314 0.00784314 0.00784314 ... 0.01176471 0.01176471 0.01176471]
 ...
 [0.01176471 0.01176471 0.01176471 ... 0.01176471 0.01176471 0.01176471]
 [0.01176471 0.01176471 0.01176471 ... 0.01176471 0.01176471 0.01176471]
 [0.01176471 0.01176471 0.01176471 ... 0.01176471 0.01176471 0.01176471]]","(266, 400)",1
st2959.jpg,"[[0.50588235 0.49411765 0.4627451  ... 0.76862745 0.7372549  0.7254902 ]
 [0.49803922 0.48627451 0.45490196 ... 0.78039216 0.75294118 0.74117647]
 [0.47843137 0.4627451  0.43529412 ... 0.79607843 0.77647059 0.76470588]
 ...
 [0.92156863 0.91764706 0.91372549 ... 0.92941176 0.93333333 0.93333333]
 [0.9254902  0.9254902  0.91764706 ... 0.9372549  0.93333333 0.92941176]
 [0.9254902  0.9254902  0.92156863 ... 0.9372549  0.92941176 0.92941176]]","(266, 400)",1
st2988.jpg,"[[0.89019608 0.89803922 0.91372549 ... 0.90588235 0.9254902  0.9372549 ]
 [0.80392157 0.81960784 0.85490196 ... 0.83921569 0.8745098  0.89411765]
 [0.65098039 0.67843137 0.74117647 ... 0.71372549 0.77254902 0.8       ]
 ...
 [0.65490196 0.68235294 0.74117647 ... 0.70196078 0.76470588 0.78823529]
 [0.77647059 0.79607843 0.83921569 ... 0.82745098 0.8627451  0.87843137]
 [0.85490196 0.86666667 0.89411765 ... 0.89019608 0.90980392 0.91764706]]","(304, 400)",1
st3545.jpg,"[[0.52941176 0.52941176 0.5254902  ... 0.64705882 0.64705882 0.64313725]
 [0.52941176 0.52941176 0.5254902  ... 0.64705882 0.64313725 0.63921569]
 [0.52941176 0.52941176 0.5254902  ... 0.63921569 0.63137255 0.62745098]
 ...
 [0.75294118 0.77254902 0.80392157 ... 0.87843137 0.88235294 0.88235294]
 [0.7372549  0.75294118 0.77647059 ... 0.88235294 0.88235294 0.88235294]
 [0.7254902  0.7372549  0.76078431 ... 0.88627451 0.88235294 0.88235294]]","(566, 850)",1
